,org_text,clean_text,end_time,start_time,url
292,DOG,dog,9.4,7.933,https://www.youtube.com/watch?v=3m1X5NYCA_I
293,BIRD,bird,10.167,9.3,https://www.youtube.com/watch?v=3m1X5NYCA_I
295,BEAR,bear,13.2,12.1,https://www.youtube.com/watch?v=3m1X5NYCA_I
304,COW,cow,33.6,32.4,https://www.youtube.com/watch?v=3m1X5NYCA_I
308,MOUSE,mouse,45.633,45.0,https://www.youtube.com/watch?v=3m1X5NYCA_I
315,LIVE,live,1.635,0.0,https://www.youtube.com/watch?v=_iunoEUacUk
318,winter,winter,6.073,4.404,https://www.youtube.com/watch?v=RCKaewmCXmk
319,celebrate,celebrate,10.544,6.94,https://www.youtube.com/watch?v=RCKaewmCXmk
320,light,light,13.981,11.412,https://www.youtube.com/watch?v=RCKaewmCXmk
327,Chocolate ,chocolate,5.0,2.333,https://www.youtube.com/watch?v=TY45tWl74ow
332,BUILDING,building,2.037,0.0,https://www.youtube.com/watch?v=_jai_CnXygg
337,Family,family,7.574,5.239,https://www.youtube.com/watch?v=ybhXZy32d1E
338,Father/Daddy,father,12.279,9.91,https://www.youtube.com/watch?v=ybhXZy32d1E
339,Mother/Mommy,mother,16.249,14.114,https://www.youtube.com/watch?v=ybhXZy32d1E
341,Sister,sister,24.691,22.355,https://www.youtube.com/watch?v=ybhXZy32d1E
342,baby,baby,28.995,26.793,https://www.youtube.com/watch?v=ybhXZy32d1E
343,"Grandfather/
Grandpa",grandfather,34.501,32.165,https://www.youtube.com/watch?v=ybhXZy32d1E
344,"Grandmother/

Grandma",grandmother,38.905,36.903,https://www.youtube.com/watch?v=ybhXZy32d1E
350,SIGNS,sign,9.543,7.074,https://www.youtube.com/watch?v=KTURNRi-wy0
351,NAME,name,25.659,23.557,https://www.youtube.com/watch?v=KTURNRi-wy0
352,INTRODUCE,introduce,33.5,31.331,https://www.youtube.com/watch?v=KTURNRi-wy0
353,FRIEND,friend,37.871,35.435,https://www.youtube.com/watch?v=KTURNRi-wy0
358,HEARING,hearing,57.257,55.455,https://www.youtube.com/watch?v=KTURNRi-wy0
359,NICE,nice,60.994,59.126,https://www.youtube.com/watch?v=KTURNRi-wy0
363,WANT,want,81.515,80.047,https://www.youtube.com/watch?v=KTURNRi-wy0
364,MY,my,84.651,83.116,https://www.youtube.com/watch?v=KTURNRi-wy0
366,STUDENT  (LEARN + PERSON),student,100.701,97.731,https://www.youtube.com/watch?v=KTURNRi-wy0
369,TEACH,teach,125.359,123.624,https://www.youtube.com/watch?v=KTURNRi-wy0
371,NUMBER,number,157.858,155.088,https://www.youtube.com/watch?v=KTURNRi-wy0
373,1,one,162.996,162.095,https://www.youtube.com/watch?v=KTURNRi-wy0
374,2,two,164.131,163.43,https://www.youtube.com/watch?v=KTURNRi-wy0
375,3,three,165.165,164.431,https://www.youtube.com/watch?v=KTURNRi-wy0
385,KNOW (Q),know,2.337,0.0,https://www.youtube.com/watch?v=WwykEPImGTU
397,READ,read,2.236,0.0,https://www.youtube.com/watch?v=xRNzgIs7WWM
409,CHAIR,sit,56.267,54.6,https://www.youtube.com/watch?v=nHnqAu_1K-c
413,TABLE,table,97.467,95.467,https://www.youtube.com/watch?v=nHnqAu_1K-c
415,COFFEE,coffee,117.567,113.2,https://www.youtube.com/watch?v=nHnqAu_1K-c
416,BED,bed,155.733,154.067,https://www.youtube.com/watch?v=nHnqAu_1K-c
424,MIRROR,mirror,203.733,201.733,https://www.youtube.com/watch?v=nHnqAu_1K-c
426,CLOSET,closet,218.6,216.267,https://www.youtube.com/watch?v=nHnqAu_1K-c
430,TELEVISION (TV or TVTV),television,236.267,234.267,https://www.youtube.com/watch?v=nHnqAu_1K-c
439,SINK,sink,300.3,297.633,https://www.youtube.com/watch?v=nHnqAu_1K-c
442,REFRIGERATOR,refrigerator,324.967,322.967,https://www.youtube.com/watch?v=nHnqAu_1K-c
451,DOOR,door,409.367,407.367,https://www.youtube.com/watch?v=nHnqAu_1K-c
454,WINDOW,window,432.8,430.8,https://www.youtube.com/watch?v=nHnqAu_1K-c
456,FLOOR,floor,458.333,456.667,https://www.youtube.com/watch?v=nHnqAu_1K-c
458,WALL,wall,469.467,465.167,https://www.youtube.com/watch?v=nHnqAu_1K-c
461,ELEVATOR,elevator,501.033,498.7,https://www.youtube.com/watch?v=nHnqAu_1K-c
488,SKIRT,skirt,1.903,0.0,https://www.youtube.com/watch?v=gH_hzPSD9zM
496,SCHOOL,school,2.035,0.0,https://www.youtube.com/watch?v=2EAilZspev4
497,Cold ,cold,4.467,0.0,https://www.youtube.com/watch?v=L2eh0aUfx0c
511,FRUIT,fruit,15.749,12.98,https://www.youtube.com/watch?v=qATuIbBufYQ
514,ORANGE,orange,27.16,24.791,https://www.youtube.com/watch?v=qATuIbBufYQ
518,APPLE,apple,42.342,39.873,https://www.youtube.com/watch?v=qATuIbBufYQ
532,SWEET,sweet,143.944,141.575,https://www.youtube.com/watch?v=qATuIbBufYQ
536,Beautiful ,beautiful,3.967,0.0,https://www.youtube.com/watch?v=hElr5OPpnAo
537,JOIN,join,5.867,0.0,https://www.youtube.com/watch?v=WPVk8I02I6M
541,OFFICE,office,2.036,0.0,https://www.youtube.com/watch?v=QaDFIVUzgHA
547,"COP, POLICE",police,43.443,39.64,https://www.youtube.com/watch?v=0uW4g4KEFMA
548,DOWN,down,46.179,43.677,https://www.youtube.com/watch?v=0uW4g4KEFMA
549,HAIR,hair,78.478,75.942,https://www.youtube.com/watch?v=0uW4g4KEFMA
550,LEFT (direction),left,92.759,87.888,https://www.youtube.com/watch?v=0uW4g4KEFMA
551,LIBRARY,library,97.931,92.993,https://www.youtube.com/watch?v=0uW4g4KEFMA
552,RAIN,rain,164.964,159.959,https://www.youtube.com/watch?v=0uW4g4KEFMA
553,RIGHT (direction),right,168.401,165.198,https://www.youtube.com/watch?v=0uW4g4KEFMA
554,STEAL,steal,177.343,172.806,https://www.youtube.com/watch?v=0uW4g4KEFMA
556,SUMMER,summer,186.152,181.414,https://www.youtube.com/watch?v=0uW4g4KEFMA
557,TREE,tree,208.374,204.137,https://www.youtube.com/watch?v=0uW4g4KEFMA
558,UP,up,214.814,212.812,https://www.youtube.com/watch?v=0uW4g4KEFMA
560,HI,hi,4.037,2.769,https://www.youtube.com/watch?v=ctcBSA-293U
565,TELEPHONE,phone,43.477,41.575,https://www.youtube.com/watch?v=ctcBSA-293U
567,CALENDAR,calendar,89.122,86.52,https://www.youtube.com/watch?v=ctcBSA-293U
570,COMFORTABLE,comfortable,158.825,156.223,https://www.youtube.com/watch?v=ctcBSA-293U
571,MEAT,meat,169.803,167.634,https://www.youtube.com/watch?v=ctcBSA-293U
579,BASEBALL,baseball,20.6,17.833,https://www.youtube.com/watch?v=pnzIZR8wTV8
585,TENNIS,tennis,58.833,56.933,https://www.youtube.com/watch?v=pnzIZR8wTV8
589,DANCE,dance,94.467,90.567,https://www.youtube.com/watch?v=pnzIZR8wTV8
590,SWIM,swim,98.667,96.333,https://www.youtube.com/watch?v=pnzIZR8wTV8
595,P LAY,play,128.633,127.067,https://www.youtube.com/watch?v=pnzIZR8wTV8
598,LOSE (a game),lost,153.9,150.9,https://www.youtube.com/watch?v=pnzIZR8wTV8
599,TIE ( / Even),tie,159.433,156.267,https://www.youtube.com/watch?v=pnzIZR8wTV8
601,TEAM,team,174.633,170.267,https://www.youtube.com/watch?v=pnzIZR8wTV8
605,Fly ,fly,3.467,0.0,https://www.youtube.com/watch?v=WAF_7C6cxGA
616,Check ,check,4.967,0.0,https://www.youtube.com/watch?v=m_2cPcPxBcc
620,CITY,city,2.336,0.0,https://www.youtube.com/watch?v=cEbPqZiaAqQ
623,WOMAN,woman,2.035,0.0,https://www.youtube.com/watch?v=OgcjUatW9LA
626,BOWL,bowl,11.111,9.51,https://www.youtube.com/watch?v=RFyLlxNMD3I
640,SICK,sick,63.864,61.628,https://www.youtube.com/watch?v=2qLS_mXdrh8
642,EMERGENCY,emergency,72.973,70.037,https://www.youtube.com/watch?v=2qLS_mXdrh8
648,FIRE,fire,219.753,216.416,https://www.youtube.com/watch?v=2qLS_mXdrh8
657,DUE / OWE,due,27.461,25.926,https://www.youtube.com/watch?v=CJcFBjT7fkc
662,NOW,now,47.414,46.046,https://www.youtube.com/watch?v=CJcFBjT7fkc
663,TODAY,today,60.694,58.358,https://www.youtube.com/watch?v=CJcFBjT7fkc
674,PAINTING,painting,31.965,29.863,https://www.youtube.com/watch?v=Efotbd3CvZo
675,BEACH,beach,35.369,32.599,https://www.youtube.com/watch?v=Efotbd3CvZo
677,GOLF,golf,60.027,57.824,https://www.youtube.com/watch?v=Efotbd3CvZo
679,LAKE,lake,78.512,76.243,https://www.youtube.com/watch?v=Efotbd3CvZo
681,BUSY,busy,84.952,82.282,https://www.youtube.com/watch?v=Efotbd3CvZo
683,TRAVEL,travel,95.429,93.16,https://www.youtube.com/watch?v=Efotbd3CvZo
685,WORK,work,122.189,119.886,https://www.youtube.com/watch?v=Efotbd3CvZo
696,STREET,street,22.589,20.787,https://www.youtube.com/watch?v=KlQ1YBnMyKM
698,NEW,new,29.429,27.928,https://www.youtube.com/watch?v=KlQ1YBnMyKM
699,OLD,old,33.166,31.064,https://www.youtube.com/watch?v=KlQ1YBnMyKM
700,BIRTHDAY,birthday,54.288,51.618,https://www.youtube.com/watch?v=KlQ1YBnMyKM
720,STAND,stand,2.404,0.0,https://www.youtube.com/watch?v=NG7ooL7QDMA
727,COLLEGE,college,39.439,35.035,https://www.youtube.com/watch?v=2fxtI59FmNs
728,COOKIE,cookie,43.343,39.673,https://www.youtube.com/watch?v=2fxtI59FmNs
730,"DIE, DEAD, DEATH",die,51.018,46.68,https://www.youtube.com/watch?v=2fxtI59FmNs
732,DRINK,drink,59.226,56.056,https://www.youtube.com/watch?v=2fxtI59FmNs
733,FINE,fine,63.03,59.459,https://www.youtube.com/watch?v=2fxtI59FmNs
736,HOMEWORK,homework,83.183,79.112,https://www.youtube.com/watch?v=2fxtI59FmNs
739,MAKE,make,110.01,105.405,https://www.youtube.com/watch?v=2fxtI59FmNs
745,SELL,sell,154.187,150.751,https://www.youtube.com/watch?v=2fxtI59FmNs
748,TOMORROW,tomorrow,168.335,164.931,https://www.youtube.com/watch?v=2fxtI59FmNs
749,VISIT,visit,176.109,173.006,https://www.youtube.com/watch?v=2fxtI59FmNs
752,WATER,water,192.959,189.589,https://www.youtube.com/watch?v=2fxtI59FmNs
753,WRITE,write,208.909,204.838,https://www.youtube.com/watch?v=2fxtI59FmNs
755,YESTERDAY,yesterday,216.917,213.513,https://www.youtube.com/watch?v=2fxtI59FmNs
757,FINISH,finish,225.625,223.957,https://www.youtube.com/watch?v=2fxtI59FmNs
758,LOOK-FOR,search,3.738,0.0,https://www.youtube.com/watch?v=V-uRsxfpNWA
776,NEGATIVE,negative,146.747,144.411,https://www.youtube.com/watch?v=kJ0pTv_VDo0
779,RICH,rich,266.5,262.762,https://www.youtube.com/watch?v=kJ0pTv_VDo0
780,POOR,poor,269.903,266.9,https://www.youtube.com/watch?v=kJ0pTv_VDo0
794,GIVE,give,38.572,33.8,https://www.youtube.com/watch?v=UlRyKsP78qQ
795,HELP,help,58.058,56.156,https://www.youtube.com/watch?v=UlRyKsP78qQ
798,PAPER,paper,95.395,93.56,https://www.youtube.com/watch?v=UlRyKsP78qQ
837,HOTEL,hotel,99.633,95.395,https://www.youtube.com/watch?v=-tZBgPMjjZM
840,RETIRE,retire,148.949,147.247,https://www.youtube.com/watch?v=-tZBgPMjjZM
841,SIGHT-SEE,see,153.82,149.716,https://www.youtube.com/watch?v=-tZBgPMjjZM
848,SHOW (av),show,4.868,0.0,https://www.youtube.com/watch?v=qL-N8RIGPZY
853,FOLLOW,follow,81.7,79.6,https://www.youtube.com/watch?v=E1wk7VLRWQs
854,INTERNET,internet,98.033,96.467,https://www.youtube.com/watch?v=E1wk7VLRWQs
869,SINCE,since,5.9350000000000005,0.0,https://www.youtube.com/watch?v=ig7b4o7eqeU
870,curious,curious,32.833,29.596,https://www.youtube.com/watch?v=i3kHyGqqg_M
871,earn,earn,40.34,37.371,https://www.youtube.com/watch?v=i3kHyGqqg_M
872,"false, fake",false,47.814,44.311,https://www.youtube.com/watch?v=i3kHyGqqg_M
874,hit,hit,64.364,60.861,https://www.youtube.com/watch?v=i3kHyGqqg_M
877,nervous,nervous,81.948,78.411,https://www.youtube.com/watch?v=i3kHyGqqg_M
878,never,never,85.819,82.182,https://www.youtube.com/watch?v=i3kHyGqqg_M
883,"real, true",true,121.988,118.084,https://www.youtube.com/watch?v=i3kHyGqqg_M
884,science,science,140.84,137.237,https://www.youtube.com/watch?v=i3kHyGqqg_M
924,PAIN,hurt,22.589,19.586,https://www.youtube.com/watch?v=Z7Z6RzQ4vCU
938,OFTEN,often,169.736,167.334,https://www.youtube.com/watch?v=Z7Z6RzQ4vCU
955,truck,truck,35.168,32.199,https://www.youtube.com/watch?v=2P9wXIPhGUQ
970,AFRAID,afraid,62.195,60.294,https://www.youtube.com/watch?v=xQR5y_xUtpA
971,CAN,can,73.874,72.072,https://www.youtube.com/watch?v=xQR5y_xUtpA
975,LIKE,like,89.122,87.254,https://www.youtube.com/watch?v=xQR5y_xUtpA
979,UNDERSTAND,understand,102.97,100.767,https://www.youtube.com/watch?v=xQR5y_xUtpA
981,ME,me,108.575,107.474,https://www.youtube.com/watch?v=xQR5y_xUtpA
1035,PROUD,proud,231.933,227.867,https://www.youtube.com/watch?v=91foGHKuwL0
1041,LONELY,lonely,346.067,342.167,https://www.youtube.com/watch?v=91foGHKuwL0
1059,TOWEL,towel,84.184,81.748,https://www.youtube.com/watch?v=yXfIcGcIpO4
1063,for EXAMPLE...,example,111.278,109.81,https://www.youtube.com/watch?v=yXfIcGcIpO4
1082,BLUE,blue,17.317,14.414,https://www.youtube.com/watch?v=otTiJBUrJmI
1089,CLASS,class,37.17,35.168,https://www.youtube.com/watch?v=otTiJBUrJmI
1094,FOR,for,54.087,52.319,https://www.youtube.com/watch?v=otTiJBUrJmI
1101,IN,in,78.946,75.609,https://www.youtube.com/watch?v=otTiJBUrJmI
1114,RED,red,119.319,116.45,https://www.youtube.com/watch?v=otTiJBUrJmI
1115,REMEMBER,remember,122.856,119.553,https://www.youtube.com/watch?v=otTiJBUrJmI
1120,WHITE,white,138.505,136.203,https://www.youtube.com/watch?v=otTiJBUrJmI
1121,YELLOW,yellow,144.611,141.842,https://www.youtube.com/watch?v=otTiJBUrJmI
1147,PLEASE,please,2.737,0.0,https://www.youtube.com/watch?v=LTVv46_N764
1161,MAN,man,23.323,21.221,https://www.youtube.com/watch?v=sUC-XDC5TvA
1162,SON,son,27.06,24.758,https://www.youtube.com/watch?v=sUC-XDC5TvA
1163,COUSIN (male),cousin,31.198,29.029,https://www.youtube.com/watch?v=sUC-XDC5TvA
1165,GIRL,girl,39.473,37.771,https://www.youtube.com/watch?v=sUC-XDC5TvA
1180,YOUNG,young,105.472,103.136,https://www.youtube.com/watch?v=sUC-XDC5TvA
1182,BUT,but,120.954,119.019,https://www.youtube.com/watch?v=sUC-XDC5TvA
1183,GET,get,124.825,122.889,https://www.youtube.com/watch?v=sUC-XDC5TvA
1197,Big ,big,6.667,3.333,https://www.youtube.com/watch?v=UEgTzBW3khs
1217,FEW,few,18.018,17.317,https://www.youtube.com/watch?v=WOoFI9xmBNo
1218,SAVE (to store up),save,25.826,23.423,https://www.youtube.com/watch?v=WOoFI9xmBNo
1223,DISCUSS,discuss,53.72,50.717,https://www.youtube.com/watch?v=WOoFI9xmBNo
1260,PASS,pass,107.774,104.771,https://www.youtube.com/watch?v=5QO6BTt9-T0
1265,HAPPEN,happen,130.297,127.627,https://www.youtube.com/watch?v=5QO6BTt9-T0
1276,AREA (location),area,37.771,34.434,https://www.youtube.com/watch?v=H3eHAKpTF70
1301,HURRY,hurry,62.635,60.192,https://www.youtube.com/watch?v=-hzoIOWYJac
1309,alone,alone,10.911,6.106,https://www.youtube.com/watch?v=9TFzEKmb5fE
1311,better,better,21.555,18.452,https://www.youtube.com/watch?v=9TFzEKmb5fE
1312,borrow,loan,26.26,21.788,https://www.youtube.com/watch?v=9TFzEKmb5fE
1318,listen,listen,102.035,99.7,https://www.youtube.com/watch?v=9TFzEKmb5fE
1322,thin,thin,158.592,154.688,https://www.youtube.com/watch?v=9TFzEKmb5fE
1349,DURING,during,228.628,225.625,https://www.youtube.com/watch?v=UIAYf-tC9g8
1358,MUST,must,22.322,20.854,https://www.youtube.com/watch?v=jE6qpXmh4VU
1359,IF / SUPPOSE,if,31.465,29.73,https://www.youtube.com/watch?v=jE6qpXmh4VU
1361,FIRST,first,63.363,59.293,https://www.youtube.com/watch?v=jE6qpXmh4VU
1362,SPEED,speed,67.1,64.798,https://www.youtube.com/watch?v=jE6qpXmh4VU
1368,DON&#39;T,not,117.684,116.116,https://www.youtube.com/watch?v=jE6qpXmh4VU
1372,ALWAYS,always,138.205,135.135,https://www.youtube.com/watch?v=jE6qpXmh4VU
1400,FUN,fun,35.135,33.567,https://www.youtube.com/watch?v=ZI3Yk215al0
1402,INSIDE,inside,53.82,52.319,https://www.youtube.com/watch?v=ZI3Yk215al0
1404,WEATHER,weather,64.131,61.795,https://www.youtube.com/watch?v=ZI3Yk215al0
1406,WARM,warm,95.295,93.06,https://www.youtube.com/watch?v=ZI3Yk215al0
1408,COOL,cool,101.568,99.7,https://www.youtube.com/watch?v=ZI3Yk215al0
1418,WOOD,wood,65.399,63.23,https://www.youtube.com/watch?v=DTJTvteF4uc
1419,METAL,metal,68.135,66.333,https://www.youtube.com/watch?v=DTJTvteF4uc
1432,EDUCATION,education,67.433,66.1,https://www.youtube.com/watch?v=c49qWjgFtRI
1445,CLASSROOM,classroom,182.1,180.1,https://www.youtube.com/watch?v=c49qWjgFtRI
1479,POSITIVE,positive,24.633,23.1,https://www.youtube.com/watch?v=Q6JDQXAPosk
1481,FUNNY,funny,41.733,40.233,https://www.youtube.com/watch?v=Q6JDQXAPosk
1482,QUIET,quiet,43.7,42.733,https://www.youtube.com/watch?v=Q6JDQXAPosk
1500,Long ,long,4.467,0.0,https://www.youtube.com/watch?v=haEEDNubsmc
1533,CANDLE,candle,56.523,53.687,https://www.youtube.com/watch?v=_nz_sivss20
1536,MAGAZINE,magazine,86.987,84.985,https://www.youtube.com/watch?v=_nz_sivss20
1539,TOGETHER,together,164.031,161.628,https://www.youtube.com/watch?v=_nz_sivss20
1553,CHALLENGE,challenge,289.856,287.687,https://www.youtube.com/watch?v=_nz_sivss20
1571,weekend,weekend,3.333,1.333,https://www.youtube.com/watch?v=EafXAOz5m58
1589,CHICKEN,chicken,106.34,104.271,https://www.youtube.com/watch?v=Z1XbXReP_UY
1597,MILK,milk,137.037,134.968,https://www.youtube.com/watch?v=Z1XbXReP_UY
1600,SUGAR,sugar,151.952,149.683,https://www.youtube.com/watch?v=Z1XbXReP_UY
1621,BOYFRIEND,boyfriend,24.157,21.355,https://www.youtube.com/watch?v=9p6eojPZWu4
1622,GIRLFRIEND,girlfriend,28.562,25.792,https://www.youtube.com/watch?v=9p6eojPZWu4
1625,to be SINGLE,single,39.973,37.838,https://www.youtube.com/watch?v=9p6eojPZWu4
1632,DATE,date,92.859,91.058,https://www.youtube.com/watch?v=9p6eojPZWu4
1634,LOVE,love,100.5,98.665,https://www.youtube.com/watch?v=9p6eojPZWu4
1638,HAT,hat,2.035,0.0,https://www.youtube.com/watch?v=Cw7DfeqaQu0
